fid,Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
2063,"1358235",,Croatia,Europe,SWBD,"1","0",0.380000000000000,4.120000000000000,1.890000000000000,2.200000000000000,0.000000000000000,"3",5.800000000000000,0.089000000000000,285.500000000000000,"127",5.780000000000000,13.699999999999999,18.117495999999999,45.483896000000001
2064,"1358242",,Italy,Europe,SWBD,"1","0",0.150000000000000,1.740000000000000,1.250000000000000,0.360000000000000,0.000000000000000,"3",2.300000000000000,0.124000000000000,33.899999999999999,"113",1.160000000000000,7.700000000000000,10.266162000000000,45.481898000000001
2065,"1358253",,France,Europe,SWBD,"1","0",0.210000000000000,2.000000000000000,1.220000000000000,0.690000000000000,0.000000000000000,"3",3.300000000000000,0.487000000000000,16.500000000000000,"260",2.080000000000000,28.000000000000000,6.070541000000000,45.479826000000003
2066,"1358261",,France,Europe,SWBD,"1","0",0.100000000000000,1.760000000000000,1.580000000000000,0.130000000000000,0.000000000000000,"3",1.300000000000000,75.096000000000004,0.100000000000000,"258",0.380000000000000,4906.199999999999818,6.022917000000000,45.478265000000000
2067,"1358267",,Italy,Europe,SWBD,"1","0",0.510000000000000,3.930000000000000,1.550000000000000,3.410000000000000,0.000000000000000,"3",6.700000000000000,0.112000000000000,352.800000000000011,"21",7.070000000000000,9.000000000000000,11.544103000000000,45.476896000000004
2068,"1358292",,Italy,Europe,SWBD,"1","0",0.150000000000000,1.650000000000000,1.200000000000000,1.450000000000000,0.000000000000000,"3",9.600000000000000,0.117000000000000,143.300000000000011,"2286",21.840000000000000,5.000000000000000,7.138299000000000,45.469703000000003
2069,"1358299",,France,Europe,SWBD,"1","0",0.100000000000000,1.460000000000000,1.290000000000000,0.180000000000000,0.000000000000000,"3",1.800000000000000,75.519000000000005,0.100000000000000,"257",0.790000000000000,4934.500000000000000,6.019587000000000,45.468342000000000
2070,"1358301",,Italy,Europe,SWBD,"1","0",0.140000000000000,1.610000000000000,1.220000000000000,0.180000000000000,0.000000000000000,"3",1.300000000000000,1.259000000000000,1.700000000000000,"107",0.360000000000000,55.799999999999997,9.322642999999999,45.467528999999999
2071,"1358303",,France,Europe,SWBD,"1","0",0.230000000000000,1.930000000000000,1.130000000000000,1.590000000000000,0.000000000000000,"3",6.900000000000000,0.475000000000000,38.600000000000001,"2085",9.539999999999999,24.500000000000000,6.906382000000000,45.466970000000003
2072,"1358304",,Italy,Europe,SWBD,"1","0",0.160000000000000,1.960000000000000,1.390000000000000,0.140000000000000,0.000000000000000,"3",0.900000000000000,0.055000000000000,29.500000000000000,"-1",0.150000000000000,4.200000000000000,12.474724999999999,45.466808000000000
2073,"1358312",,Italy,Europe,SWBD,"1","0",0.200000000000000,2.870000000000000,1.810000000000000,0.260000000000000,0.000000000000000,"3",1.300000000000000,7.812000000000000,0.400000000000000,"127",0.310000000000000,277.500000000000000,9.046924000000001,45.464646000000002
2074,"1358332",,Italy,Europe,SWBD,"1","0",0.160000000000000,1.850000000000000,1.290000000000000,0.190000000000000,0.000000000000000,"3",1.100000000000000,1.292000000000000,1.700000000000000,"107",0.260000000000000,57.299999999999997,9.327764999999999,45.461827999999997
2075,"1358333",,Italy,Europe,SWBD,"1","0",0.720000000000000,5.600000000000000,1.850000000000000,2.020000000000000,0.000000000000000,"3",2.800000000000000,0.067000000000000,348.800000000000011,"109",1.030000000000000,3.000000000000000,9.288835000000001,45.460549999999998
2076,"1358335",,Italy,Europe,SWBD,"2","3402",0.390000000000000,2.830000000000000,1.280000000000000,14.500000000000000,14.500000000000000,"2",37.299999999999997,0.208000000000000,806.799999999999955,"2261",13.470000000000001,9.000000000000000,7.131142000000000,45.460304999999998
2077,"1358349",,Italy,Europe,SWBD,"1","0",0.210000000000000,3.810000000000000,2.340000000000000,0.280000000000000,0.000000000000000,"3",1.300000000000000,7.646000000000000,0.400000000000000,"126",0.330000000000000,242.300000000000011,9.021753000000000,45.456842999999999
2078,"1358360",,Italy,Europe,SWBD,"1","0",0.160000000000000,1.520000000000000,1.070000000000000,0.270000000000000,0.000000000000000,"3",1.700000000000000,1.516000000000000,2.100000000000000,"98",0.580000000000000,91.000000000000000,10.216104000000000,45.455486000000001
2079,"1358391",,Croatia,Europe,SWBD,"1","0",0.270000000000000,2.970000000000000,1.610000000000000,0.600000000000000,0.000000000000000,"3",2.200000000000000,0.113000000000000,61.000000000000000,"94",0.850000000000000,12.000000000000000,16.817087000000001,45.446671000000002
2080,"1358399",,France,Europe,SWBD,"1","0",0.110000000000000,2.100000000000000,1.760000000000000,0.250000000000000,0.000000000000000,"3",2.200000000000000,76.129999999999995,0.100000000000000,"252",1.090000000000000,4984.500000000000000,6.007217000000000,45.444709000000003
2081,"1358400",,Italy,Europe,SWBD,"1","0",0.230000000000000,2.130000000000000,1.250000000000000,0.390000000000000,0.000000000000000,"3",1.700000000000000,1.367000000000000,3.300000000000000,"101",0.520000000000000,60.700000000000003,9.336781999999999,45.444980000000001
2082,"1358429",,Italy,Europe,SWBD,"1","0",0.100000000000000,1.800000000000000,1.590000000000000,0.060000000000000,0.000000000000000,"3",0.600000000000000,0.023000000000000,31.300000000000001,"14",0.080000000000000,1.800000000000000,11.785417000000001,45.440828000000003
2083,"1358438",,Italy,Europe,SWBD,"1","0",0.290000000000000,2.170000000000000,1.140000000000000,0.920000000000000,0.000000000000000,"3",3.200000000000000,0.059000000000000,179.599999999999994,"73",1.770000000000000,4.500000000000000,10.667667000000000,45.438816000000003
2084,"1358457",,Italy,Europe,SWBD,"1","0",0.280000000000000,2.880000000000000,1.550000000000000,0.530000000000000,0.000000000000000,"3",1.900000000000000,8.108000000000001,0.800000000000000,"116",0.650000000000000,289.699999999999989,9.067069000000000,45.434260999999999
2085,"1358476",,Croatia,Europe,SWBD,"1","0",0.450000000000000,2.620000000000000,1.100000000000000,1.120000000000000,0.000000000000000,"3",2.500000000000000,14.124000000000001,0.900000000000000,"95",0.940000000000000,1679.400000000000091,16.824109000000000,45.430152000000000
2086,"1358480",,Italy,Europe,SWBD,"2","3403",0.930000000000000,5.500000000000000,1.610000000000000,34.100000000000001,34.100000000000001,"2",36.500000000000000,2.016000000000000,195.800000000000011,"1561",10.279999999999999,85.500000000000000,7.242363000000000,45.429374000000003
2087,"1358496",,Italy,Europe,SWBD,"1","0",0.100000000000000,1.690000000000000,1.490000000000000,0.640000000000000,0.000000000000000,"3",6.300000000000000,3.580000000000000,2.100000000000000,"425",10.260000000000000,140.400000000000006,7.756152000000000,45.424545999999999
2088,"1358500",,Italy,Europe,SWBD,"1","0",0.170000000000000,1.750000000000000,1.220000000000000,0.170000000000000,0.000000000000000,"3",1.000000000000000,0.673000000000000,2.900000000000000,"83",0.210000000000000,39.299999999999997,10.002083000000001,45.423779000000003
