Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
812,5.90,,
812.2,5.80,,
812.4,5.70,,
812.6,5.40,,
812.8,5.10,,
813,4.90,,
813.2,4.80,,
813.4,4.60,,
813.6,4.40,,
813.8,4.50,,
814,4.80,,
814.2,5.20,,
814.4,8.90,,
814.6,5.20,,
814.8,5.30,,
815,5.20,,
815.2,5.40,,
815.4,5.40,,
815.6,5.20,,
815.8,5.50,,
816,5.80,,
816.2,6.00,,
816.4,5.90,,
816.6,5.70,,
816.8,5.00,,
817,4.50,,
817.2,4.40,,
817.4,4.60,,
817.6,4.80,,
817.8,5.30,,
818,5.60,,
818.2,5.60,,
818.4,5.60,,
818.6,5.80,,
818.8,6.10,,
819,6.20,,
819.2,6.70,,
819.4,6.90,,
819.6,6.80,,
819.8,6.80,,
820,6.40,,
820.2,5.80,,
820.4,5.40,,
820.6,5.40,,
820.8,5.80,,
821,6.00,,
821.2,5.80,,
821.4,5.60,,
821.6,5.40,,
821.8,5.40,,
822,5.70,,
822.2,6.00,,
822.4,6.40,,
822.6,6.30,,
822.8,5.50,,
823,5.00,,
823.2,5.00,,
823.4,4.60,,
823.6,4.50,,
823.8,4.40,,
824,4.60,,
824.2,4.50,,
824.4,4.50,,
824.6,4.50,,
824.8,4.50,,
825,4.20,,
825.2,3.70,,
825.4,3.40,,
825.6,3.60,,
825.8,3.90,,
826,4.00,,
826.2,3.90,,
826.4,4.00,,
826.6,4.20,,
826.8,4.20,,
827,4.20,,
827.2,4.30,,
827.4,4.70,,
827.6,4.80,,
827.8,5.10,,
828,5.30,,
828.2,5.60,,
828.4,6.60,,
828.6,7.30,,
828.8,6.20,,
829,4.80,,
829.2,4.00,,
829.4,3.70,,
829.6,3.70,,
829.8,3.80,,
830,4.00,,
830.2,4.20,,
830.4,4.10,,
830.6,4.00,,
830.8,4.20,,
831,4.50,,
831.2,4.80,,
831.4,5.10,,
831.6,5.20,,
831.8,5.40,,
832,5.30,,
832.2,5.20,,
832.4,5.00,,
832.6,4.80,,
832.8,4.40,,
833,4.00,,
833.2,4.10,,
833.4,4.30,,
833.6,4.50,,
833.8,4.50,,
834,4.60,,
834.2,4.60,,
834.4,4.60,,
834.6,4.50,,
834.8,4.00,,
835,3.80,,
835.2,3.60,,
835.4,3.30,,
835.6,3.60,,
835.8,3.80,,
836,3.80,,
836.2,3.60,,
836.4,3.50,,
836.6,3.40,,
836.8,3.10,,
837,2.90,,
837.2,3.10,,
837.4,3.40,,
837.6,3.80,,
837.8,3.90,,
838,4.20,,
838.2,4.30,,
838.4,4.00,,
838.6,3.80,,
838.8,3.30,,
839,3.30,,
839.2,3.50,,
839.4,3.40,,
839.6,2.90,,
839.8,3.00,,
840,2.90,,
840.2,2.90,,
840.4,2.90,,
840.6,4.00,,
840.8,4.00,,
841,3.90,,
841.2,3.60,,
841.4,3.40,,
841.6,3.70,,
841.8,3.70,,
842,3.70,,
842.2,3.70,,
842.4,3.60,,
842.6,3.90,,
842.8,3.60,,
843,3.00,,
843.2,3.20,,
843.4,3.60,,
843.6,3.60,,
843.8,3.30,,
844,3.10,,
844.2,2.80,,
844.4,2.60,,
844.6,2.50,,
844.8,2.70,,
845,3.10,,
845.2,3.30,,
845.4,3.20,,
845.6,3.20,,
845.8,3.30,,
846,4.20,,
846.2,4.60,,
846.4,4.20,,
846.6,3.30,,
846.8,2.70,,
847,2.80,,
847.2,2.80,,
847.4,3.20,,
847.6,3.10,,
847.8,3.20,,
848,3.10,,
848.2,3.20,,
848.4,3.00,,
848.6,3.00,,
848.8,2.90,,
849,3.00,,
849.2,3.40,,
849.4,3.70,,
849.6,3.80,,
849.8,3.50,,
850,3.20,,
850.2,3.30,,
850.4,3.20,,
850.6,3.20,,
850.8,3.00,,
851,2.80,,
851.2,2.60,,
851.4,2.60,,
851.6,2.90,,
851.8,3.00,,
852,3.00,,
852.2,3.00,,
852.4,3.00,,
852.6,3.10,,
852.8,3.60,,
853,3.80,,
853.2,3.40,,
853.4,3.40,,
853.6,3.20,,
853.8,3.20,,
854,3.10,,
854.2,3.20,,
854.4,3.40,,
854.6,3.40,,
854.8,3.40,,
855,3.40,,
855.2,3.20,,
855.4,3.30,,
855.6,3.20,,
855.8,3.20,,
856,3.10,,
856.2,2.90,,
856.4,2.90,,
856.6,3.20,,
856.8,3.40,,
857,3.40,,
857.2,3.30,,
857.4,3.40,,
857.6,3.30,,
857.8,3.30,,
858,3.40,,
858.2,3.40,,
858.4,3.60,,
858.6,3.60,,
858.8,3.60,,
859,3.40,,
859.2,3.20,,
859.4,3.20,,
859.6,3.20,,
859.8,3.50,,
860,3.80,,
860.2,3.80,,
860.4,4.20,,
860.6,4.20,,
860.8,4.20,,
861,4.50,,
861.2,4.80,,
861.4,4.30,,
861.6,3.90,,
861.8,3.80,,
862,4.10,,
862.2,4.00,,
862.4,3.60,,
862.6,3.70,,
862.8,4.00,,
863,4.20,,
863.2,4.40,,
863.4,4.40,,
863.6,3.80,,
863.8,3.60,,
864,3.60,,
864.2,3.80,,
864.4,3.90,,
864.6,3.80,,
864.8,4.00,,
865,4.10,,
865.2,4.00,,
865.4,3.70,,
865.6,3.50,,
865.8,3.60,,
866,4.00,,
866.2,3.80,,
866.4,3.80,,
866.6,3.80,,
866.8,3.80,,
867,4.20,,
867.2,4.40,,
867.4,4.30,,
867.6,4.00,,
867.8,3.80,,
868,4.00,,
868.2,4.40,,
868.4,4.70,,
868.6,4.90,,
868.8,5.10,,
869,5.20,,
869.2,5.00,,
869.4,4.60,,
869.6,4.30,,
869.8,4.00,,
870,3.80,,
870.2,3.50,,
870.4,3.50,,
870.6,3.70,,
870.8,3.90,,
871,4.20,,
871.2,4.30,,
871.4,4.30,,
871.6,4.20,,
871.8,3.80,,
872,3.50,,
872.2,3.30,,
872.4,3.80,,
872.6,4.60,,
872.8,4.90,,
873,4.60,,
873.2,4.20,,
873.4,4.20,,
873.6,4.40,,
873.8,4.60,,
874,4.40,,
874.2,4.30,,
874.4,4.40,,
874.6,4.40,,
874.8,4.00,,
875,3.80,,
875.2,3.70,,
875.4,3.80,,
875.6,3.60,,
875.8,3.50,,
876,3.40,,
876.2,3.30,,
876.4,3.40,,
876.6,3.40,,
876.8,3.60,,
877,3.40,,
877.2,3.30,,
877.4,3.40,,
877.6,3.60,,
877.8,4.00,,
878,4.00,,
878.2,3.80,,
878.4,3.50,,
878.6,2.90,,
878.8,3.40,,
879,3.80,,
879.2,4.20,,
879.4,4.40,,
879.6,4.50,,
879.8,4.70,,
880,4.80,,
880.2,4.60,,
880.4,4.50,,
880.6,4.60,,
880.8,4.80,,
881,4.90,,
881.2,4.80,,
881.4,4.30,,
881.6,4.00,,
881.8,4.00,,
882,4.20,,
882.2,4.10,,
882.4,4.00,,
882.6,3.90,,
882.8,4.00,,
883,4.20,,
883.2,4.40,,
883.4,4.40,,
883.6,4.30,,
883.8,4.20,,
884,4.10,,
884.2,2.50,,
884.4,2.60,,
884.6,2.60,,
884.8,2.60,,
885,2.90,,
885.2,2.80,,
885.4,2.70,,
885.6,2.40,,
885.8,3.20,,
886,3.40,,
886.2,3.40,,
886.4,3.60,,
886.6,3.80,,
886.8,4.00,,
887,4.00,,
887.2,4.00,,
887.4,3.60,,
887.6,3.10,,
887.8,3.20,,
888,4.10,,
888.2,4.60,,
888.4,4.90,,
888.6,4.60,,
888.8,4.40,,
889,4.20,,
889.2,4.30,,
889.4,4.40,,
889.6,4.60,,
889.8,4.20,,
890,3.90,,
890.2,4.50,,
890.4,5.60,,
890.6,5.80,,
890.8,5.20,,
891,4.50,,
891.2,4.40,,
891.4,4.80,,
891.6,5.80,,
891.8,6.00,,
892,5.20,,
892.2,4.40,,
892.4,4.80,,
892.6,4.20,,
892.8,4.00,,
893,3.70,,
893.2,3.60,,
893.4,3.80,,
893.6,4.00,,
893.8,3.80,,
894,3.50,,
894.2,3.40,,
894.4,3.40,,
894.6,3.50,,
894.8,4.30,,
895,5.20,,
895.2,5.30,,
895.4,5.20,,
895.6,4.70,,
895.8,4.20,,
896,3.60,,
896.2,3.40,,
896.4,3.60,,
896.6,4.30,,
896.8,4.90,,
897,4.80,,
897.2,4.50,,
897.4,4.20,,
897.6,3.60,,
897.8,3.40,,
898,3.40,,
898.2,4.00,,
898.4,4.40,,
898.6,4.80,,
898.8,4.90,,
899,4.60,,
899.2,4.20,,
899.4,4.20,,
899.6,4.00,,
899.8,3.80,,
900,3.70,,
900.2,3.90,,
900.4,4.00,,
900.6,3.60,,
900.8,3.10,,
901,3.00,,
901.2,3.40,,
901.4,3.60,,
901.6,3.60,,
901.8,3.50,,
902,3.60,,
902.2,3.60,,
902.4,3.30,,
902.6,2.60,,
902.8,2.20,,
903,2.50,,
903.2,2.50,,
903.4,2.70,,
903.6,2.70,,
903.8,2.70,,
904,2.60,,
904.2,2.90,,
904.4,3.20,,
904.6,3.20,,
904.8,3.10,,
905,3.00,,
905.2,2.80,,
905.4,2.70,,
905.6,2.50,,
905.8,2.30,,
906,2.40,,
906.2,2.50,,
906.4,2.60,,
906.6,3.00,,
906.8,3.00,,
907,3.10,,
907.2,2.70,,
907.4,2.60,,
907.6,2.60,,
907.8,2.80,,
908,2.70,,
908.2,2.60,,
908.4,2.80,,
908.6,2.60,,
908.8,2.70,,
909,2.60,,
909.2,2.50,,
909.4,2.30,,
909.6,2.50,,
909.8,2.10,,
910,1.90,,
910.2,1.90,,
910.4,2.30,,
910.6,2.20,,
910.8,2.30,,
911,2.50,,
911.2,2.50,,
911.4,2.50,,
911.6,2.70,,
911.8,2.70,,
912,2.70,,
912.2,2.70,,
912.4,2.70,,
912.6,2.00,,
912.8,1.70,,
913,1.70,,
913.2,1.70,,
913.4,1.80,,
913.6,2.10,,
913.8,2.20,,
914,2.20,,
914.2,2.30,,
914.4,2.00,,
914.6,2.10,,
914.8,1.90,,
915,2.10,,
915.2,3.20,,
915.4,3.80,,
915.6,4.20,,
915.8,4.20,,
916,4.40,,
916.2,4.60,,
916.4,4.40,,
916.6,4.00,,
916.8,3.30,,
917,3.30,,
917.2,4.10,,
917.4,4.80,,
917.6,5.00,,
917.8,5.30,,
918,5.80,,
918.2,6.20,,
918.4,6.00,,
918.6,5.40,,
918.8,4.90,,
919,4.80,,
919.2,4.60,,
919.4,4.70,,
919.6,4.80,,
919.8,5.20,,
920,5.60,,
920.2,5.80,,
920.4,5.40,,
920.6,5.10,,
920.8,5.40,,
921,5.90,,
921.2,6.10,,
921.4,6.20,,
921.6,6.60,,
921.8,6.60,,
922,6.40,,
922.2,6.00,,
922.4,5.60,,
922.6,5.20,,
922.8,4.90,,
923,5.00,,
923.2,5.50,,
923.4,6.00,,
923.6,6.00,,
923.8,5.60,,
924,5.40,,
924.2,4.80,,
924.4,4.20,,
924.6,3.80,,
924.8,4.20,,
925,4.90,,
925.2,5.00,,
925.4,5.20,,
925.6,5.40,,
925.8,5.70,,
926,5.60,,
926.2,5.60,,
926.4,5.50,,
926.6,5.00,,
926.8,4.80,,
927,4.90,,
927.2,4.90,,
927.4,4.80,,
927.6,4.60,,
927.8,4.00,,
928,3.70,,
928.2,4.20,,
928.4,4.60,,
928.6,4.40,,
928.8,4.20,,
929,3.90,,
929.2,3.70,,
929.4,3.70,,
929.6,3.90,,
929.8,4.00,,
930,4.30,,
930.2,5.10,,
930.4,6.00,,
930.6,6.20,,
930.8,5.40,,
931,4.60,,
931.2,4.20,,
931.4,4.10,,
931.6,3.80,,
931.8,3.70,,
932,3.70,,
932.2,4.20,,
932.4,4.60,,
932.6,5.00,,
932.8,5.50,,
933,6.00,,
933.2,6.10,,
933.4,5.80,,
933.6,5.70,,
933.8,5.50,,
934,3.8,,
934.2,4.1,,
934.4,4.3,,
934.6,4.6,,
934.8,4.8,,
935,5,,
935.2,5,,
935.4,4.8,,
935.6,4.6,,
935.8,4.4,,
936,4.2,,
936.2,4,,
936.4,3.6,,
936.6,3.4,,
936.8,3.5,,
937,3.9,,
937.2,4.3,,
937.4,5.1,,
937.6,6.1,,
937.8,6.1,,
938,5.6,,
938.2,5,,
938.4,4.3,,
938.6,4,,
938.8,4.2,,
939,4.4,,
939.2,4.2,,
939.4,4,,
939.6,4.2,,
939.8,4.5,,
940,4.1,,
940.2,4.1,,
940.4,4.4,,
940.6,5,,
940.8,5.9,,
941,6.8,,
941.2,6.9,,
941.4,7,,
941.6,6.4,,
941.8,6.2,,
942,6.8,,
942.2,7.1,,
942.4,6.6,,
942.6,5.6,,
942.8,4.8,,
943,5,,
943.2,6,,
943.4,6.7,,
943.6,7.3,,
943.8,7.3,,
944,6.3,,
944.2,5.4,,
944.4,5.2,,
944.6,5.3,,
944.8,5.3,,
945,5,,
945.2,4.9,,
945.4,5.6,,
945.6,6.1,,
945.8,5.6,,
946,5.4,,
946.2,5.9,,
946.4,6.2,,
946.6,5.1,,
946.8,3.5,,
947,3,,
947.2,4.1,,
947.4,5.7,,
947.6,6.3,,
947.8,6.3,,
948,5.7,,
948.2,5.3,,
948.4,5.4,,
948.6,5.5,,
948.8,5,,
949,4.8,,
949.2,4.8,,
949.4,4.6,,
949.6,4.4,,
949.8,4.6,,
950,4.6,,
950.2,4.8,,
950.4,5,,
950.6,4.6,,
950.8,4.2,,
951,4.3,,
951.2,4.5,,
951.4,4.7,,
951.6,4.7,,
951.8,4.8,,
952,4.8,,
952.2,4.6,,
952.4,4.2,,
952.6,3.6,,
952.8,3.6,,
953,3.9,,
953.2,3.8,,
953.4,4,,
953.6,4.2,,
953.8,4,,
954,4.1,,
954.2,3.8,,
954.4,4.2,,
954.6,4.7,,
954.8,4.8,,
955,4.8,,
955.2,4.4,,
955.4,4.6,,
955.6,5.3,,
955.8,5.7,,
956,5.6,,
956.2,5.2,,
956.4,5,,
956.6,4.8,,
956.8,4,,
957,3.2,,
957.2,2.5,,
957.4,2.9,,
957.6,3.9,,
957.8,4.3,,
958,4.2,,
958.2,4.1,,
958.4,4,,
958.6,3.5,,
958.8,3.3,,
959,3.5,,
959.2,3.6,,
959.4,3.2,,
959.6,3.6,,
959.8,4.1,,
960,4.4,,
960.2,4.2,,
960.4,4,,
960.6,4,,
960.8,3.9,,
961,3.4,,
961.2,3,,
961.4,2.8,,
961.6,2.7,,
961.8,2.9,,
962,3.2,,
962.2,3.6,,
962.4,3.8,,
962.6,3.9,,
962.8,4,,
963,3.9,,
963.2,3.8,,
963.4,3.8,,
963.6,3.6,,
963.8,3.4,,
964,3.6,,
964.2,3.9,,
964.4,4.2,,
964.6,4.5,,
964.8,4,,
965,4,,
965.2,3.6,,
965.4,3.5,,
965.6,3.4,,
965.8,3.4,,
966,3.4,,
966.2,3.3,,
966.4,3.2,,
966.6,2.8,,
966.8,2.6,,
967,3.1,,
967.2,3.4,,
967.4,3.6,,
967.6,3.5,,
967.8,3.2,,
968,3,,
968.2,3.2,,
968.4,3,,
968.6,3.2,,
968.8,3.6,,
969,4.1,,
969.2,4.4,,
969.4,4.4,,
969.6,4,,
969.8,3.6,,
970,3.1,,
970.2,2.8,,
970.4,3.3,,
970.6,4.3,,
970.8,5.2,,
971,5.4,,
971.2,4.9,,
971.4,4.1,,
971.6,3.9,,
971.8,3.8,,
972,3.2,,
972.2,2.7,,
972.4,2.5,,
972.6,2.7,,
972.8,3.4,,
973,4.2,,
973.2,4.2,,
973.4,3.7,,
973.6,3.4,,
973.8,3.2,,
974,3.4,,
974.2,3.2,,
974.4,2.7,,
974.6,2.3,,
974.8,2.1,,
975,2.3,,
975.2,3,,
975.4,3.4,,
975.6,3.5,,
975.8,3.8,,
976,3.9,,
976.2,4,,
976.4,3.9,,
976.6,3.8,,
976.8,3.6,,
977,3.4,,
977.2,3,,
977.4,3,,
977.6,3.7,,
977.8,4,,
978,4.1,,
978.2,3.9,,
978.4,3.5,,
978.6,3.3,,
978.8,3.5,,
979,3.6,,
979.2,4.6,,
979.4,5.6,,
979.6,5.2,,
979.8,5,,
980,5.2,,
980.2,5.1,,
980.4,4.6,,
980.6,3.4,,
980.8,2.8,,
981,2.9,,
981.2,3.1,,
981.4,3,,
981.6,3.1,,
981.8,3.1,,
982,3.2,,
982.2,3.2,,
982.4,2.6,,
982.6,2.3,,
982.8,2.7,,
983,4.2,,
983.2,5.4,,
983.4,5.4,,
983.6,5.4,,
983.8,5.2,,
984,5.2,,
984.2,5.2,,
984.4,4.9,,
984.6,4.4,,
984.8,4,,
985,3.5,,
985.2,3,,
985.4,3,,
985.6,3.3,,
985.8,3.2,,
986,3,,
986.2,2.7,,
986.4,2.6,,
986.6,2.6,,
986.8,3.1,,
987,3.2,,
987.2,3,,
987.4,3.6,,
987.6,4.5,,
987.8,4.5,,
988,3.8,,
988.2,3.4,,
988.4,3.2,,
988.6,3,,
988.8,2.8,,
989,2.6,,
989.2,2.3,,
989.4,2.5,,
989.6,2.7,,
989.8,2.5,,
990,2.4,,
990.2,2.2,,
990.4,2.1,,
990.6,2.1,,
990.8,2.4,,
991,2.5,,
991.2,2.8,,
991.4,3.1,,
991.6,3.5,,
991.8,3.6,,
992,3.6,,
992.2,3.6,,
992.4,3.8,,
992.6,4.4,,
992.8,4.4,,
993,3.9,,
993.2,3.2,,
993.4,2.9,,
993.6,2.8,,
993.8,2.9,,
994,3,,
994.2,3,,
994.4,2.7,,
994.6,2.5,,
994.8,2.3,,
995,2.2,,
995.2,2.3,,
995.4,2.9,,
995.6,3.4,,
995.8,3.4,,
996,3.2,,
996.2,3.1,,
996.4,3,,
996.6,3,,
996.8,2.8,,
997,2.5,,
997.2,2.7,,
997.4,2.9,,
997.6,3,,
997.8,3.2,,
998,3.8,,
998.2,4.2,,
998.4,3.9,,
998.6,3.3,,
998.8,3,,
999,2.8,,
999.2,2.8,,
999.4,3.2,,
999.6,3.1,,
999.8,2.8,,
1000,3.2,,
1000.2,3.1,,
1000.4,3.2,,
1000.6,3.1,,
1000.8,3,,
1001,2.6,,
1001.2,2.6,,
1001.4,2.7,,
1001.6,2.7,,
1001.8,2.7,,
1002,2.5,,
1002.2,1.9,,
1002.4,1.8,,
1002.6,2.3,,
1002.8,2.6,,
1003,3,,
1003.2,3.2,,
1003.4,3.3,,
1003.6,3,,
1003.8,2.8,,
1004,2.9,,
1004.2,3,,
1004.4,2.8,,
1004.6,2.7,,
1004.8,2.9,,
1005,2.8,,
1005.2,2.7,,
1005.4,2.7,,
1005.6,2.8,,
1005.8,2.9,,
1006,3,,
1006.2,2.9,,
1006.4,3,,
1006.6,2.9,,
1006.8,2.9,,
1007,2.7,,
1007.2,2.3,,
1007.4,2,,
1007.6,1.7,,
1007.8,1.7,,
1008,2.1,,
1008.2,2.3,,
1008.4,2.5,,
1008.6,2.7,,
1008.8,3,,
1009,2.9,,
1009.2,2.6,,
1009.4,2.5,,
1009.6,2.5,,
1009.8,2.5,,
1010,2.3,,
1010.2,2.3,,
1010.4,2.4,,
1010.6,2.6,,
1010.8,2.8,,
1011,2.8,,
1011.2,2.9,,
1011.4,3,,
1011.6,2.9,,
1011.8,2.7,,
1012,2.5,,
1012.2,2.6,,
1012.4,3.2,,
1012.6,2.9,,
1012.8,2.8,,
1013,2.8,,
1013.2,2.9,,
1013.4,2.8,,
1013.6,2.7,,
1013.8,2.3,,
1014,2.1,,
1014.2,2.2,,
1014.4,2.7,,
1014.6,2.9,,
1014.8,2.9,,
1015,2.7,,
1015.2,2.5,,
1015.4,2.5,,
1015.6,2.6,,
1015.8,2.8,,
1016,2.7,,
1016.2,2.5,,
1016.4,2.4,,
1016.6,2.4,,
1016.8,2.4,,
1017,2.3,,
1017.2,2,,
1017.4,1.8,,
1017.6,1.7,,
1017.8,1.9,,
1018,1.8,,
1018.2,1.9,,
1018.4,2,,
1018.6,2.1,,
1018.8,2.4,,
1019,2.3,,
1019.2,2.3,,
1019.4,2.5,,
1019.6,2.6,,
1019.8,2.5,,
1020,2.7,,
1020.2,2.6,,
1020.4,2.3,,
1020.6,2.1,,
1020.8,2,,
1021,1.7,,
1021.2,1.3,,
1021.4,0.9,,
1021.6,0.8,,
1021.8,0.5,,
1022,0.1,,
1022.2,-0.1,,
1022.4,-0.4,,
1022.6,-0.3,,
1022.8,-0.3,,
1023,-0.1,,
1023.2,-0.1,,
1023.4,1,,
1023.6,1.8,,
1023.8,1.9,,
1024,1.9,,
1024.2,1.9,,
1024.4,2,,
1024.6,1.8,,
1024.8,1.7,,
1025,1.4,,
1025.2,1.1,,
1025.4,1,,
1025.6,1.1,,
1025.8,1.2,,
1026,1.1,,
1026.2,0.9,,
1026.4,0.8,,
1026.6,1,,
1026.8,0.9,,
1027,1.1,,
1027.2,1.4,,
1027.4,1.3,,
1027.6,1.2,,
1027.8,1.2,,
1028,1.3,,
1028.2,1.3,,
1028.4,1.5,,
1028.6,1.3,,
1028.8,1.3,,
1029,1.7,,
1029.2,1.7,,
1029.4,1.5,,
1029.6,1.1,,
1029.8,0.4,,
1030,-0.1,,
1030.2,-0.1,,
1030.4,-0.1,,
1030.6,0.3,,
1030.8,0.9,,
1031,1.4,,
1031.2,1.5,,
1031.4,1.5,,
1031.6,1.3,,
1031.8,1.5,,
1032,1.3,,
1032.2,1.4,,
1032.4,1.5,,
1032.6,1.8,,
1032.8,2.1,,
1033,2.1,,
1033.2,2.1,,
1033.4,2.1,,
1033.6,1.8,,
1033.8,1.6,,
1034,1.5,,
1034.2,1.4,,
1034.4,1.4,,
1034.6,1.3,,
1034.8,1.2,,
1035,1.4,,
1035.2,1.5,,
1035.4,1.6,,
1035.6,1.7,,
1035.8,2,,
1036,2.3,,
1036.2,2.2,,
1036.4,1.9,,
1036.6,1.5,,
1036.8,1.2,,
1037,1.3,,
1037.2,1.3,,
1037.4,1.5,,
1037.6,1.3,,
1037.8,1.3,,
1038,1.1,,
1038.2,1.3,,
1038.4,1.7,,
1038.6,2.2,,
1038.8,2.1,,
1039,1.6,,
1039.2,1.5,,
1039.4,1.7,,
1039.6,1.9,,
1039.8,1.7,,
1040,1.4,,
1040.2,1.5,,
1040.4,1.6,,
1040.6,1.5,,
1040.8,1.5,,
1041,1.5,,
1041.2,1.8,,
1041.4,1.5,,
1041.6,1.5,,
1041.8,1.4,,
1042,1.5,,
1042.2,1.7,,
1042.4,1.5,,
1042.6,1.4,,
1042.8,1.1,,
1043,1,,
1043.2,1.3,,
1043.4,1.5,,
1043.6,1.7,,
1043.8,2,,
1044,3,,
1044.2,3.8,,
1044.4,3.3,,
1044.6,2.3,,
1044.8,1.4,,
1045,1.1,,
1045.2,1.1,,
1045.4,1.3,,
1045.6,1.5,,
1045.8,1.9,,
1046,1.7,,
1046.2,1.6,,
1046.4,1.5,,
1046.6,1.5,,
1046.8,1.5,,
1047,1.3,,
1047.2,1.7,,
1047.4,1.9,,
1047.6,1.7,,
1047.8,1.5,,
1048,1.5,,
1048.2,1.6,,
1048.4,1.3,,
1048.6,1.6,,
1048.8,2.1,,
1049,2.4,,
1049.2,2.4,,
1049.4,2.4,,
1049.6,2.1,,
1049.8,1.9,,
1050,2.3,,
1050.2,2.8,,
1050.4,2.4,,
1050.6,1.7,,
1050.8,1.3,,
1051,1.3,,
1051.2,1.3,,
1051.4,1,,
1051.6,0.9,,
1051.8,0.9,,
1052,1.3,,
1052.2,1.7,,
1052.4,2,,
1052.6,2.3,,
1052.8,2.1,,
1053,2,,
1053.2,1.9,,
1053.4,1.9,,
1053.6,1.9,,
1053.8,2.4,,
1054,3.5,,
1054.2,3.9,,
1054.4,2.9,,
1054.6,2,,
1054.8,1.7,,
1055,1.6,,
1055.2,1.5,,
1055.4,1.3,,
1055.6,1.1,,
1055.8,1.1,,
1056,1.3,,
1056.2,1.3,,
1056.4,1.7,,
1056.6,2,,
1056.8,1.9,,
1057,1.7,,
1057.2,1.5,,
1057.4,1.5,,
1057.6,1.5,,
1057.8,1.5,,
1058,1.4,,
1058.2,1.2,,
1058.4,1.1,,
1058.6,1.1,,
1058.8,1,,
1059,1,,
1059.2,1,,
1059.4,1.1,,
1059.6,1.1,,
1059.8,1.3,,
1060,1.6,,
1060.2,2.1,,
1060.4,2.8,,
1060.6,3.2,,
1060.8,3,,
1061,2.4,,
1061.2,1.9,,
1061.4,1.7,,
1061.6,1.4,,
1061.8,1.2,,
1062,1.3,,
1062.2,1.3,,
1062.4,1.5,,
1062.6,1.3,,
1062.8,1.3,,
1063,1.2,,
1063.2,0.9,,
1063.4,0.9,,
1063.6,1,,
1063.8,1.1,,
1064,1.2,,
1064.2,1.3,,
1064.4,1.2,,
1064.6,1.3,,
1064.8,1.2,,
1065,1.2,,
1065.2,1.5,,
1065.4,1.5,,
1065.6,1.5,,
1065.8,1.1,,
1066,0.9,,
1066.2,0.9,,
1066.4,0.9,,
1066.6,1.8,,
1066.8,1.8,,
1067,1.9,,
1067.2,1.7,,
1067.4,1.7,,
1067.6,1.7,,
1067.8,1.8,,
1068,1.9,,
1068.2,1.7,,
1068.4,1.7,,
1068.6,1.9,,
1068.8,1.7,,
1069,1.5,,
1069.2,1.6,,
1069.4,2.1,,
1069.6,2.4,,
1069.8,2.8,,
1070,2.8,,
1070.2,2.4,,
1070.4,2.4,,
1070.6,2.6,,
1070.8,2.8,,
1071,2.9,,
1071.2,3.4,,
1071.4,3.6,,
1071.6,3.6,,
1071.8,3.6,,
1072,3.6,,
1072.2,3.8,,
1072.4,3.8,,
1072.6,3.5,,
1072.8,3.3,,
1073,3.9,,
1073.2,4.6,,
1073.4,4.2,,
1073.6,4.1,,
1073.8,4,,
1074,4,,
1074.2,4.1,,
1074.4,4.1,,
1074.6,4,,
1074.8,4,,
1075,4.2,,
1075.2,3.8,,
1075.4,3.7,,
1075.6,3.8,,
1075.8,4,,
1076,4,,
1076.2,3.8,,
1076.4,3.8,,
1076.6,3.6,,
1076.8,3.6,,
1077,3.2,,
1077.2,3.2,,
1077.4,3.4,,
1077.6,3.8,,
1077.8,4.1,,
1078,4.4,,
1078.2,4.4,,
1078.4,4.4,,
1078.6,4.5,,
1078.8,4.4,,
1079,4.2,,
1079.2,4,,
1079.4,3.9,,
1079.6,4,,
1079.8,4,,
1080,3.9,,
1080.2,4,,
1080.4,4,,
1080.6,4.2,,
1080.8,4,,
1081,3.6,,
1081.2,3.4,,
1081.4,3.4,,
1081.6,3.4,,
1081.8,3.5,,
1082,3.7,,
1082.2,3.8,,
1082.4,3.7,,
1082.6,3.6,,
1082.8,3.4,,
1083,3.4,,
1083.2,3.5,,
1083.4,3.6,,
1083.6,3.5,,
1083.8,3.3,,
1084,3.2,,
1084.2,3.4,,
1084.4,3.7,,
1084.6,3.6,,
1084.8,3.3,,
1085,3.1,,
1085.2,3,,
1085.4,2.9,,
1085.6,2.8,,
1085.8,2.7,,
1086,2.7,,
1086.2,2.8,,
1086.4,2.7,,
1086.6,2.6,,
1086.8,2.8,,
1087,3.1,,
1087.2,3.2,,
1087.4,3.1,,
1087.6,3,,
1087.8,3.2,,
1088,3.2,,
1088.2,3.2,,
1088.4,3.2,,
1088.6,3.3,,
1088.8,3.1,,
1089,3,,
1089.2,3.3,,
1089.4,3.8,,
1089.6,3.8,,
1089.8,3.8,,
1090,4,,
1090.2,3.8,,
1090.4,3.6,,
1090.6,3.3,,
1090.8,3.2,,
1091,3.5,,
1091.2,3.8,,
1091.4,4.3,,
1091.6,4.5,,
1091.8,4.8,,
1092,4.6,,
1092.2,4.2,,
1092.4,4,,
1092.6,3.6,,
1092.8,3.4,,
1093,3.4,,
1093.2,3.4,,
1093.4,3.7,,
1093.6,3.8,,
1093.8,3.7,,
1094,3.4,,
1094.2,2.8,,
1094.4,2.5,,
1094.6,2.8,,
1094.8,2.3,,
1095,3,,
1095.2,3.5,,
1095.4,3.4,,
1095.6,3,,
1095.8,2.6,,
1096,2.8,,
