Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
130.8,4.90,327,1.1961
131,4.90,327.5,1.0786
131.2,5.00,328,1.1512
131.4,5.00,328.5,1.2342
131.6,5.00,329,1.1562
131.8,4.80,329.5,1.1542
132,4.70,330,1.2027
132.2,4.90,330.5,1.2138
132.4,4.90,331,1.1639
132.6,4.80,331.5,1.1948
132.8,4.80,332,1.1985
133,4.90,332.5,1.1917
133.2,5.00,333,1.164
133.4,4.80,333.5,1.1568
133.6,4.80,334,1.1862
133.8,4.80,334.5,1.1736
134,5.00,335,1.1183
134.2,4.80,335.5,1.1532
134.4,4.80,336,1.1826
134.6,4.80,336.5,1.218
134.8,4.80,337,1.2079
135,4.90,337.5,1.1572
135.2,4.90,338,1.1776
135.4,5.00,338.5,1.2034
135.6,4.90,339,1.1636
135.8,4.90,339.5,1.1375
136,5.10,340,1.1716
136.2,5.10,340.5,1.205
136.4,5.10,341,1.1701
136.6,5.20,341.5,1.1931
136.8,5.10,342,1.2116
137,5.20,342.5,1.185
137.2,5.00,343,1.1826
137.4,5.10,343.5,1.1943
137.6,5.10,344,1.2301
137.8,5.10,344.5,1.224
138,5.10,345,1.2163
138.2,5.10,345.5,1.1676
138.4,5.00,346,1.1924
138.6,5.00,346.5,1.2326
138.8,5.20,347,1.2375
139,5.30,347.5,1.2308
139.2,5.20,348,1.2802
139.4,5.20,348.5,1.275
139.6,5.10,349,1.2205
139.8,5.00,349.5,1.1892
140,4.90,350,1.1519
140.2,4.80,350.5,1.1519
140.4,4.80,351,1.1699
140.6,4.90,351.5,1.1922
140.8,4.90,352,1.2029
141,4.80,352.5,1.2207
141.2,4.80,353,1.169
141.4,4.60,353.5,1.1467
141.6,4.70,354,1.1738
141.8,4.80,354.5,1.2006
142,5.00,355,1.1801
142.2,5.20,355.5,1.1488
142.4,5.40,356,1.1141
142.6,5.30,356.5,1.1633
142.8,5.00,357,1.2122
143,4.80,357.5,1.2096
143.2,4.80,358,1.1369
143.4,5.00,358.5,1.0955
143.6,5.00,359,1.1836
143.8,5.00,359.5,1.2044
144,4.90,360,1.2519
144.2,4.80,360.5,1.2684
144.4,4.90,361,1.3393
144.6,5.20,361.5,1.2778
144.8,5.20,362,1.1668
145,5.20,362.5,1.2102
145.2,5.20,363,1.1847
145.4,5.10,363.5,1.1532
145.6,5.20,364,1.1652
145.8,5.20,364.5,1.0964
146,5.10,365,1.1034
146.2,5.10,365.5,1.1122
146.4,5.20,366,1.1478
146.6,5.20,366.5,1.1596
146.8,5.00,367,1.1577
147,5.00,367.5,1.1685
147.2,5.20,368,1.1686
147.4,5.40,368.5,1.0082
147.6,5.50,369,
147.8,5.40,369.5,1.0699
148,5.40,370,1.1358
148.2,5.40,370.5,1.149
148.4,5.30,371,1.1746
148.6,5.40,371.5,1.1763
148.8,5.40,372,1.1578
149,5.40,372.5,1.155
149.2,5.30,373,1.1703
149.4,5.20,373.5,1.1797
149.6,5.00,374,1.1427
149.8,4.70,374.5,1.1448
150,4.60,375,1.1234
150.2,4.80,375.5,1.1489
150.4,4.80,376,1.1768
150.6,4.80,376.5,1.1531
150.8,4.90,377,1.1235
151,5.00,377.5,1.195
151.2,5.00,378,1.207
151.4,4.90,378.5,1.2219
151.6,5.00,379,1.233
151.8,5.20,379.5,1.2087
152,5.20,380,1.2025
152.2,5.10,380.5,1.1864
152.4,5.00,381,1.166
152.6,5.00,381.5,1.1219
152.8,4.90,382,1.0821
153,4.70,382.5,1.1375
153.2,4.30,383,1.133
153.4,3.80,383.5,1.123
153.6,3.50,384,1.0821
153.8,3.70,384.5,1.1231
154,4.00,385,1.1095
154.2,4.10,385.5,1.1216
154.4,4.40,386,1.1187
154.6,4.60,386.5,1.126
154.8,4.60,387,1.1298
155,4.70,387.5,1.1407
155.2,4.70,388,1.1402
155.4,4.80,388.5,1.1126
155.6,5.00,389,
155.8,4.90,389.5,
156,4.70,390,1.0884
156.2,4.60,390.5,1.1011
156.4,4.40,391,1.1209
156.6,3.70,391.5,1.1667
156.8,3.70,392,1.1638
157,4.00,392.5,1.1508
157.2,4.80,393,1.159
157.4,5.20,393.5,1.1897
157.6,5.30,394,1.1688
157.8,5.20,394.5,1.1891
158,5.20,395,1.1919
158.2,5.20,395.5,1.1818
158.4,5.60,396,1.1759
158.6,6.00,396.5,1.0474
158.8,6.00,397,
159,5.80,397.5,1.1061
159.2,5.60,398,1.1734
159.4,5.40,398.5,1.1344
159.6,5.30,399,1.1482
159.8,5.10,399.5,1.1651
160,5.20,400,1.1055
160.2,5.20,400.5,1.0918
160.4,5.00,401,1.1656
160.6,5.00,401.5,1.1632
160.8,5.00,402,1.1797
161,4.90,402.5,1.2004
161.2,4.80,403,1.1826
161.4,4.90,403.5,1.1891
161.6,5.00,404,1.2235
161.8,5.20,404.5,1.2205
162,5.20,405,1.2276
162.2,5.40,405.5,1.2096
162.4,5.40,406,1.2246
162.6,5.40,406.5,1.2066
162.8,5.40,407,1.2089
163,5.10,407.5,1.2378
163.2,5.00,408,1.2299
163.4,5.10,408.5,1.2412
163.6,5.00,409,1.2553
163.8,4.90,409.5,1.2639
164,4.80,410,1.2939
164.2,4.60,410.5,1.2726
164.4,4.00,411,1.2703
164.6,3.80,411.5,1.2746
164.8,4.10,412,1.2978
165,4.50,412.5,1.2798
165.2,4.80,413,1.254
165.4,5.10,413.5,1.2465
165.6,5.20,414,1.24
165.8,5.10,414.5,1.2263
166,5.20,415,1.2355
166.2,5.30,415.5,1.2463
166.4,5.40,416,1.2355
166.6,5.20,416.5,1.2568
166.8,5.20,417,1.2395
167,4.90,417.5,1.2707
167.2,4.80,418,1.2631
167.4,4.50,418.5,1.2825
167.6,4.40,419,1.2914
167.8,4.50,419.5,1.2897
168,4.80,420,1.2887
168.2,5.30,420.5,1.2868
168.4,5.20,421,1.3183
168.6,5.10,421.5,1.2997
168.8,5.00,422,1.309
169,4.60,422.5,1.0638
169.2,4.50,423,1.055
169.4,4.50,423.5,1.0522
169.6,4.60,424,1.0587
169.8,4.40,424.5,1.0919
170,4.40,425,1.0936
170.2,4.40,425.5,1.0381
170.4,4.40,426,
170.6,4.40,426.5,
170.8,4.30,427,1.0874
171,4.30,427.5,1.0584
171.2,4.30,428,1.102
171.4,4.30,428.5,1.1847
171.6,4.40,429,1.1049
171.8,4.30,429.5,1.0625
172,4.20,430,1.101
172.2,4.20,430.5,1.0839
172.4,4.00,431,1.0963
172.6,4.20,431.5,1.0891
172.8,4.10,432,1.1237
173,4.20,432.5,1.1492
173.2,4.20,433,1.0978
173.4,4.20,433.5,1.1014
173.6,4.10,434,1.1038
173.8,4.00,434.5,1.1311
174,4.20,435,1.1259
174.2,4.10,435.5,1.1315
174.4,4.10,436,1.1505
174.6,4.10,436.5,1.0679
174.8,4.00,437,1.1205
175,4.10,437.5,1.1649
175.2,4.10,438,1.1607
175.4,4.10,438.5,1.149
175.6,4.40,439,1.1977
175.8,4.40,439.5,1.1871
176,4.40,440,1.1904
176.2,4.20,440.5,1.1803
176.4,4.20,441,1.1646
176.6,4.20,441.5,1.1052
176.8,4.20,442,1.1342
177,4.20,442.5,1.1788
177.2,4.20,443,1.058
177.4,4.40,443.5,1.0056
177.6,4.30,444,1.0664
177.8,4.40,444.5,1.1616
178,4.40,445,1.1346
178.2,4.40,445.5,1.1106
178.4,4.40,446,1.0914
178.6,4.20,446.5,1.1638
178.8,4.10,447,1.1978
179,4.00,447.5,1.1993
