Distance (m),26-Aug-00,05-Aug-02,08-Sep-12,01-Mar-14,01-May-16
1134.54,213.63,215.88,231.09,194.38,167.17
1136.73,212.77,214.86,230.06,194.11,166.86
1138.92,211.95,213.81,228.88,193.9,166.69
1141.11,211.08,213.02,227.48,193.73,166.52
1143.3,210.1,211.88,225.88,193.58,166.3
1145.49,209.09,210.69,224.21,193.42,166.17
1147.68,208.21,209.47,222.66,193.24,165.92
1149.87,207.38,208.24,221.39,193.03,165.76
1152.06,206.58,207.05,220.35,192.81,165.46
1154.25,205.72,205.91,219.42,192.63,165.19
1156.44,204.81,204.82,218.54,192.48,165.23
1158.63,203.89,203.8,217.7,192.37,165.12
1160.82,202.98,202.83,217.12,192.25,164.87
1163.01,202.15,201.88,216.41,192.1,164.72
1165.2,201.47,200.93,215.74,191.95,164.67
1167.39,200.91,199.98,215,191.78,164.53
1169.58,200.29,199.03,214.1,191.6,164.36
1171.77,199.61,198.1,213.01,191.42,164.19
1173.96,199.04,197.21,211.83,191.21,164.02
1176.15,198.66,196.91,210.7,190.95,163.87
1178.34,198.38,195.9,209.68,190.66,163.68
1180.53,198,195.19,208.81,190.38,163.47
1182.72,197.15,194.56,208.31,190.11,163.39
1184.91,196.28,194,207.59,189.84,163.15
1187.1,195.39,193.49,206.82,189.56,162.98
1189.29,194.88,193,205.93,189.28,162.85
1191.48,194.88,192.5,204.94,189.03,162.71
1193.67,194.9,192.03,203.87,188.79,162.6
1195.86,194.95,191.58,202.76,188.55,162.45
1198.05,194.17,191.17,202.1,188.28,162.31
1200.24,193.18,190.83,200.96,188.02,162.13
1202.43,192.37,190.56,199.82,187.73,161.91
1204.62,191.77,190.34,198.68,187.43,161.8
1206.81,191.1,190.14,197.59,187.12,161.6
1209,190.19,189.92,196.59,186.79,161.43
1211.19,189.14,189.62,195.72,186.41,161.22
1213.38,187.9,189.18,194.98,185.92,160.98
1215.57,186.52,188.18,194.26,185.29,160.77
1217.76,185.54,187.51,193.41,184.51,160.58
1219.95,184.74,186.73,192.33,183.65,160.27
1222.14,185.29,185.91,191.12,182.76,160.02
1224.33,185.61,185.12,189.93,181.89,159.78
1226.53,185.19,184.37,188.9,181.07,159.51
1228.72,184.02,183.65,188.08,180.3,159.31
1230.91,182.33,182.9,187.4,179.6,159.03
1233.1,180.68,182.08,186.85,179.18,158.99
1235.29,179.43,181.14,186.31,178.76,158.77
1237.48,178.39,180.11,185.81,178.17,158.63
1239.67,177.32,179.02,185.34,177.58,158.5
1241.86,176.26,177.9,184.86,176.97,158.33
1244.05,175.13,176.78,184.33,176.35,158.19
1246.24,173.72,175.64,183.69,175.79,158.06
1248.43,172.08,174.5,182.97,175.36,157.91
1250.62,170.6,173.34,182.26,175.12,157.74
