date,mean_temp (deg C),min_temp (deg C),max_temp (deg C),mean_pressure (mb),mean_humidity (%),mean_wind (ms-1),precip_sum (mm),month,month-year,year
2015-08-15,16.849999999999998,14.2,20.7,756.8541666666666,65.20833333333333,3.125,1.2,Aug,Aug-2015,2015
2015-08-16,16.225,11.3,20.8,760.5875000000001,63.125,2.1739130434782608,0.0,Aug,Aug-2015,2015
2015-08-17,17.44545454545454,13.3,21.0,761.0304347826087,71.36363636363636,2.4782608695652173,0.0,Aug,Aug-2015,2015
2015-08-18,16.58333333333334,14.2,19.5,758.8874999999999,64.8,3.9583333333333335,0.0,Aug,Aug-2015,2015
2015-08-19,16.2625,13.4,20.9,760.6083333333332,78.83333333333333,4.041666666666667,2.4000000000000004,Aug,Aug-2015,2015
2015-08-20,18.25,15.1,21.1,762.3625000000001,87.58333333333333,4.333333333333333,8.0,Aug,Aug-2015,2015
2015-08-21,21.008695652173916,18.2,26.5,762.6130434782608,73.17391304347827,4.869565217391305,0.0,Aug,Aug-2015,2015
2015-08-22,21.834782608695654,15.0,30.7,758.5782608695652,67.65217391304348,3.782608695652174,0.0,Aug,Aug-2015,2015
2015-08-23,19.339130434782604,15.7,22.4,749.9217391304348,67.1304347826087,4.739130434782608,3.6,Aug,Aug-2015,2015
2015-08-24,14.765217391304347,12.5,17.0,747.6260869565218,91.91304347826087,3.4782608695652173,22.2,Aug,Aug-2015,2015
2015-08-25,15.104166666666666,11.2,19.0,753.6875000000003,87.0,5.666666666666667,8.0,Aug,Aug-2015,2015
2015-08-26,17.245833333333334,15.1,19.9,751.1166666666668,86.54166666666667,6.416666666666667,63.0,Aug,Aug-2015,2015
2015-08-27,15.59583333333333,13.5,19.6,752.9875000000001,80.41666666666667,4.666666666666667,8.2,Aug,Aug-2015,2015
2015-08-28,16.000000000000004,10.9,21.1,759.7708333333331,72.5,4.416666666666667,0.0,Aug,Aug-2015,2015
2015-08-29,17.3375,14.1,22.3,762.6958333333333,78.20833333333333,2.9166666666666665,0.2,Aug,Aug-2015,2015
2015-08-30,17.562500000000004,15.6,20.8,760.9666666666668,82.83333333333333,2.9583333333333335,5.0,Aug,Aug-2015,2015
2015-08-31,14.937499999999998,14.3,16.0,758.1625,93.04166666666667,2.9166666666666665,28.8,Aug,Aug-2015,2015
2015-09-01,15.166666666666671,13.4,19.2,761.0916666666668,80.375,2.375,0.8,Sep,Sep-2015,2015
2015-09-02,13.85,9.5,19.0,761.2208333333334,76.0,2.7083333333333335,0.0,Sep,Sep-2015,2015
2015-09-03,12.925000000000002,9.6,16.4,759.9041666666666,74.33333333333333,3.25,0.0,Sep,Sep-2015,2015
2015-09-04,13.463636363636367,10.7,16.6,761.0136363636361,69.9090909090909,3.0454545454545454,0.0,Sep,Sep-2015,2015
2015-09-05,12.704347826086956,8.9,16.3,764.0173913043479,76.1304347826087,3.0,0.6,Sep,Sep-2015,2015
2015-09-06,12.950000000000001,5.7,19.9,769.0499999999998,69.45833333333333,2.1666666666666665,0.0,Sep,Sep-2015,2015
2015-09-07,13.858333333333333,8.4,19.3,770.6875,74.91666666666667,2.7083333333333335,0.0,Sep,Sep-2015,2015
2015-09-08,13.633333333333333,10.1,16.5,769.0541666666664,74.83333333333333,2.75,0.0,Sep,Sep-2015,2015
2015-09-09,15.108333333333334,12.7,19.7,764.9916666666667,74.33333333333333,4.208333333333333,0.6000000000000001,Sep,Sep-2015,2015
2015-09-10,15.999999999999998,11.8,21.2,763.2791666666667,72.16666666666667,4.416666666666667,0.0,Sep,Sep-2015,2015
2015-09-11,16.35217391304348,11.8,22.3,758.9695652173913,68.47826086956522,4.086956521739131,0.0,Sep,Sep-2015,2015
2015-09-12,17.21666666666666,13.1,21.5,753.5999999999999,68.04166666666667,5.541666666666667,0.8,Sep,Sep-2015,2015
