Event	IGSN	Sample label	Samp type	Latitude	Longitude	Mineral	Position	SiO2 [%]	TiO2 [%]	Al2O3 [%]	FeO [%]	MnO [%]	MgO [%]	CaO [%]	Na2O [%]	K2O [%]	Cr2O3 [%]	NiO [%]	Total [%]	δ18O [‰]	δ18O std dev [±]	Si [# of ions]	Ti [# of ions]	Al [# of ions]	Cr [# of ions]	Fe2+ [# of ions]	Fe3+ [# of ions]	Mn2+ [# of ions]	Mg [# of ions]	Ca [# of ions]	Na [# of ions]	K [# of ions]	Ni [# of ions]	Cat [#]	Mg#	En [%]	Fs [%]	Wo [%]	An [%]	Ab [%]	Or [%]
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	OPX 1	rim	53.68	0.35	1.72	17.25	0.38	25.27	1.99	0.07	#0.00	0.10		100.82			1.94	0.01	0.07	0.00	0.52	0.00	0.01	1.36	0.08	0.00	0.00		4.01	72.00	69.00	27	4			
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	OPX 2	core	53.87	0.22	1.80	15.62	0.30	26.37	1.79	0.06	#0.00	0.14		100.17			1.95	0.01	0.08	0.00	0.47	0.00	0.01	1.42	0.07	0.00	0.00		4.01	75.00	72.00	24	4			
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	OPX 2	rim	53.48	0.30	1.44	17.29	0.36	25.08	1.91	0.07	0.01	0.04		99.97			1.95	0.01	0.06	0.00	0.53	0.00	0.01	1.37	0.07	0.01	0.00		4.01	72.00	69.00	27	4			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OPX 1	core	53.26	0.26	1.72	17.14	0.32	25.16	1.94	0.06	0.01	0.10		99.97			1.94	0.01	0.07	0.00	0.52	0.00	0.01	1.37	0.08	0.00	0.00		4.01	72.00	69.00	27	4			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OPX 2	core	53.48	0.29	1.52	17.89	0.35	24.41	1.88	0.04	#0.00	0.07		99.93			1.96	0.01	0.07	0.00	0.55	0.00	0.01	1.33	0.07	0.00	0.00		4.00	70.00	68.00	28	4			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OPX 2	rim	55.79	0.14	2.24	7.57	0.19	32.15	1.99	0.07	#0.00	0.59		100.72			1.93	0.00	0.09	0.02	0.22	0.00	0.01	1.66	0.07	0.00	0.00		4.01	88.00	85.00	11	4			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OPX 3	core	53.83	0.30	1.66	16.85	0.33	25.37	1.94	0.08	#0.00	0.14		100.50			1.95	0.01	0.07	0.00	0.51	0.00	0.01	1.37	0.08	0.01	0.00		4.01	72.00	70.00	26	4			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OPX 3	rim	56.45	0.08	1.54	7.90	0.15	32.32	1.35	0.03	#0.00	0.48		100.30			1.96	0.00	0.06	0.01	0.23	0.00	0.00	1.67	0.05	0.00	0.00		4.00	88.00	85.00	12	3			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OPX 4	core	53.34	0.29	1.66	17.68	0.35	25.09	1.90	0.02	#0.00	0.11		100.45			1.94	0.01	0.07	0.00	0.54	0.00	0.01	1.36	0.07	0.00	0.00		4.01	71.00	69.00	28	4			
Pukeonake	hdl:10273/IELEG0005	NZ11	Pukeonake	-39.144782	175.566633	OPX 4	rim	55.46	0.29	1.25	11.86	0.22	29.31	1.95	0.05	0.01	0.14		100.54			1.96	0.01	0.05	0.00	0.35	0.00	0.01	1.55	0.07	0.00	0.00		4.00	81.00	78.00	18	4			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	OPX 1	core	55.61	0.10	2.25	11.35	0.24	29.95	1.59	0.06	0.01	0.07		101.22			1.95	0.00	0.09	0.00	0.33	0.00	0.01	1.56	0.06	0.00	0.00		4.01	82.00	80.00	17	3			
