Depth [m]	Age [ka BP]	Placoliths small [%]	Placoliths small acc rate [10**6 #/cm**2/ka]	G. muellerae [%]	G. muellerae acc rate [10**6 #/cm**2/ka]	G. oceanica [%]	G. oceanica acc rate [10**6 #/cm**2/ka]	F. profunda [%]	F. profunda acc rate [10**6 #/cm**2/ka]	Cocco rew [%]	Cocco rew acc rate [10**6 #/cm**2/ka]	E. huxleyi [%]	E. huxleyi acc rate [10**6 #/cm**2/ka]	Helicosphaera spp. [%]	Helicosphaera spp. acc rate [10**6 #/cm**2/ka]	Syracosphaera spp. [%]	Syracosphaera spp. acc rate [10**6 #/cm**2/ka]	O. fragilis [%]	Oolithotus fragilis acc rate [10**6 #/cm**2/ka]	Umbellosphaera spp. [%]	Umbellosphaera spp. acc rate [10**6 #/cm**2/ka]	Acc rate cocco [10**6 #/cm**2/ka]
0.26	6.66	82.98	171784.63	3.24	6712.72	3.39	7017.84	2.80	5797.35	0.90	1861.25	0.00	0.00	0.15	305.12	2.06	4271.73	0.33	686.53	0.22	457.69	99459.45
0.28	6.84	79.96	276569.89	3.34	11562.29	6.15	21274.61	2.67	9249.83	0.62	2127.46	0.13	462.49	0.40	1387.47	2.67	9249.83	0.12	416.24	0.13	462.49	166187.96
0.30	7.02	83.50	143505.97	1.85	3181.95	3.89	6682.10	2.78	4772.93	1.43	2450.10	0.19	318.20	0.37	636.39	2.96	5091.12	0.11	190.92	0.28	477.29	82569.55
0.32	7.19	83.53	323864.08	2.76	10702.40	4.44	17216.91	1.44	5583.86	1.18	4560.16	0.00	0.00	0.12	465.32	2.28	8841.12	0.25	977.18	0.16	604.92	186275.23
0.34	7.37	79.35	129220.87	1.86	3032.26	6.30	10263.03	3.15	5131.51	0.86	1399.50	0.00	0.00	0.29	466.50	4.01	6531.02	0.14	233.25	0.17	279.90	78244.72
0.36	7.55	82.49	168970.78	2.61	5349.17	5.22	10698.34	2.61	5349.17	0.59	1211.43	0.00	0.00	0.15	314.66	2.61	5349.17	0.30	613.58	0.37	755.18	98417.11
0.38	7.72	80.39	237667.71	1.59	4706.29	5.57	16472.02	2.87	8471.32	1.21	3576.78	0.00	0.00	0.16	470.63	4.46	13177.62	0.18	517.69	0.27	800.07	142046.01
0.40	7.90	83.90	230893.51	2.61	7185.48	4.00	11017.74	3.31	9101.61	0.28	766.45	0.00	0.00	0.00	0.00	2.79	7664.51	0.33	910.16	0.35	958.06	132223.01
0.42	8.07	87.92	166067.87	2.67	5051.49	3.18	5998.65	0.33	631.44	0.98	1846.95	0.00	0.00	0.00	0.00	2.51	4735.78	0.15	284.15	0.20	378.86	90755.13
0.44	8.25	84.39	129625.79	2.42	3712.43	3.63	5568.65	3.42	5259.28	0.17	262.96	0.00	0.00	0.00	0.00	3.02	4640.54	0.09	139.22	0.12	185.62	54119.07
0.46	8.43	85.71	160593.33	2.64	4950.85	3.14	5879.14	2.48	4641.43	1.08	2026.76	0.17	309.43	0.17	309.43	2.64	4950.85	0.17	324.90	0.15	278.49	66018.23
0.48	8.51	89.98	305722.52	1.11	3774.35	2.04	6919.65	2.41	8177.76	0.34	1163.76	0.00	0.00	0.00	0.00	2.59	8806.82	0.06	188.72	0.31	1037.95	596513.28
0.50	8.60	84.51	299884.18	1.94	6872.35	5.46	19367.52	0.88	3123.79	1.63	5779.02	0.00	0.00	0.18	624.76	2.11	7497.10	0.08	281.14	0.18	656.00	622981.61
0.52	8.69	87.11	350408.33	1.51	6083.48	4.39	17642.09	0.45	1825.04	0.19	760.43	0.00	0.00	0.30	1216.70	3.48	13992.00	0.14	547.51	0.27	1095.03	941538.53
0.54	8.78	88.65	400044.00	1.08	4886.03	3.38	15268.85	0.68	3053.77	1.04	4672.27	0.00	0.00	0.27	1221.51	2.44	10993.58	0.08	366.45	0.20	916.13	1056344.18
0.56	8.86	86.46	396890.90	1.21	5563.89	3.64	16691.67	1.08	4945.68	1.52	6954.86	0.13	618.21	0.40	1854.63	2.69	12364.20	0.20	927.32	0.20	927.32	1074521.54
0.58	8.95	90.58	465785.48	0.53	2750.70	2.14	11002.81	0.36	1833.80	0.68	3484.22	0.00	0.00	0.36	1833.80	3.39	17421.11	0.14	733.52	0.07	366.76	1203603.82
0.60	9.04	87.93	562492.55	1.19	7601.25	2.23	14252.35	0.59	3800.63	2.32	14822.44	0.00	0.00	0.30	1900.31	2.97	19003.13	0.06	380.06	0.13	855.14	1497466.08
0.62	9.13	88.18	376706.18	0.90	3843.94	3.75	16016.42	1.50	6406.57	1.18	5029.16	0.00	0.00	0.15	640.66	1.95	8328.54	0.18	768.79	0.29	1249.28	1000015.87
0.64	9.22	88.17	582671.52	0.42	2770.23	4.05	26778.88	0.84	5540.46	1.37	9049.42	0.00	0.00	0.42	2770.23	2.65	17544.78	0.08	554.05	0.11	738.73	1546958.85
0.66	9.30	94.93	272659.42	0.49	1400.65	0.65	1867.53	1.46	4201.94	0.29	840.39	0.00	0.00	0.16	466.88	0.81	2334.41	0.10	280.13	0.23	653.64	672321.97
