OBJECTID,name,nr,Shape_Leng,Shape_Area,year
88,Vermunt Gletscher,12007,7084.13218831692,763802.92335891700,2015
1072,Kleiner Fleiss Kees,4036,4812.25240975191,756585.12911987300,2015
269,Welitz Kees S,6033,5687.90879584857,725307.81770324700,2015
496,Spiegel Ferner,2097,5511.91215358244,699307.27359008700,2015
815,Furtschagl Kees,9086,6735.89775818051,698216.16336822500,2015
914,Schladminger Gletscher,11001,4209.82451060343,693238.02606201100,2015
422,Berglas Ferner,3058,5415.90153215854,684899.65516662500,2015
586,├ñusserer Pirchelkar Ferner S,14002,6066.17428821843,669680.42885589600,2015
805,Walcher Kees,5058,6206.76874744243,637958.67345428400,2015
330,Pfaffen Ferner,2040,5753.71950694871,636679.20753479000,2015
808,Wielinger Kees,5066,6343.36992516943,625917.49208831700,2015
420,Verborgen Berg Ferner,3056,4394.51663528398,618670.13894653300,2015
182,Grosser Jaidbach Kees,5131,5080.16997662185,608347.31119537300,2015
51,Kuchelmoos Kees,9016,5737.01980428109,601408.68775177000,2015
1065,Vogelmaier Ochsenkarkees un.,5030,4265.34692405580,594440.25940704300,2015
41,L├Âffler Kees,9059,5154.93726882654,579194.42755126900,2015
819,Fuscherkar Kees,5050,7771.79085966502,574967.05891418400,2015
598,Planggeross Ferner S1,14034,5432.50926486369,559553.86087036100,2015
415,Sommerwand Ferner,3052,4895.57309248050,548335.37094879100,2015
175,K├ñferfeld Kees,5125,4099.92616548522,518895.29970550500,2015
68,Grosser Riepen Kees,9097,6182.50519327333,518681.22518157900,2015
302,Bockkogel Ferner E,2018,3724.41655849750,518419.08040618800,2015
487,Brandner Gletscher,12029,4502.06786176052,515755.71664428700,2015
192,Westliches Jaidbach Kees,5136,3999.49058616200,511554.10131835900,2015
858,Teufelsm├╝hl Kees,5054,5048.35694854959,504026.96852111800,2015
348,Grastal Ferner,2008,4207.09221490437,503684.74678802400,2015
1135,Kreuz Ferner S,2120,5250.26898247663,495885.83508300700,2015
183,Kleiner Jaidbach Kees,5132,3373.85933520110,490096.48781585600,2015
258,Maurer Kees E,6049,6597.12144081325,487621.55994415200,2015
50,Ziller Kees,9015,5997.69420638404,485199.45152282700,2015
509,Manigenbach Ferner,2082,5194.30940413399,484108.06838226300,2015
1116,Schneeglocken Gletscher,12009,3787.34094274751,481673.74784851000,2015
668,Mutmal Ferner,2108,5273.26411210345,473011.04779815600,2015
647,Seelen Ferner 1,2067,3629.63335247700,469797.96973419100,2015
649,Seelen Ferner 3,2069,3173.51441210689,468263.07080841000,2015
277,Gleirsch Ferner,1010,3635.62500671302,465684.55425262400,2015
683,Vernaglwand Ferner S,2126,5139.99417269811,464647.09522247300,2015
1071,Hocharn Kees N,5036,6327.34075018942,463263.13107299800,2015
719,├Âstlicher Wannet Ferner,7020,3161.65887847750,457176.16737747100,2015
847,Horn Kees E,9074,3790.30412775186,453758.05503082200,2015
607,Innerer Pirchelkar Ferner,2163,3889.23475066332,452977.00720214800,2015
804,Sandboden Kees,5056,3975.31645857073,452061.93016052200,2015
76,Olperer Ferner,3003,5769.09462083840,449854.64655303900,2015
1086,Schlappereben Kees,5021,4779.52204887718,449293.49983215300,2015
445,Totenfeld,13021,4876.55801438270,449073.34544372500,2015
217,Obersulzbach Kees,5129,6170.89593000626,443502.72394561700,2015
694,Mitterkar Ferner,2135,6152.25985608331,438103.61088562000,2015
57,Grasleiten Kees S,9040,4609.28629733643,435997.35114288300,2015
655,NN,2076,3239.96304422438,434684.85167694000,2015
783,Grad├Âtz Kees,6098,3529.76404674585,428602.96123504600,2015
1093,Wurtenkees + Toteis,4038,6155.64512132142,427802.68118286100,2015
407,Larain Ferner,13007,5840.97444768990,412566.47235488800,2015
