171011 80 OPL 20 PDMS 13,7 Fe 600 - 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed at 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;
9.89E-06;1.68E-07;0.01695;-1.89E-04;-0.018851;5.05E-07;1.99E-06;1420.01;23.7;1420;5.198;
-6.33E-06;2.08E-08;-3.29E-03;-1.92E-04;-0.019224;6.27E-08;-1.27E-06;1430.02;23.8;1430;5.201;
-1.16E-05;2.08E-07;-0.01788;-1.90E-04;-0.019032;6.27E-07;-2.34E-06;1440.02;24;1440;5.195;
-5.89E-06;1.05E-07;-0.01788;-1.89E-04;-0.018936;3.17E-07;-1.19E-06;1450.02;24.2;1450;5.177;
1.69E-05;-5.20E-08;-3.08E-03;-1.85E-04;-0.018508;-1.57E-07;3.39E-06;1460.01;24.3;1460;5.16;
-1.05E-05;-2.00E-07;0.01898;-1.83E-04;-0.018302;-6.03E-07;-2.12E-06;1470.01;24.5;1470;5.185;
1.98E-05;-3.54E-07;-0.01788;-1.89E-04;-0.018892;-1.07E-06;3.98E-06;1480.01;24.7;1480;5.158;
-3.27E-06;-2.60E-08;7.94E-03;-1.91E-04;-0.019116;-7.83E-08;-6.58E-07;1490.01;24.8;1490;5.203;
2.25E-06;-4.03E-08;-0.01788;-1.85E-04;-0.018514;-1.21E-07;4.54E-07;1500.01;25;1500;5.197;
-1.75E-06;3.12E-08;-0.01788;-1.89E-04;-0.018875;9.40E-08;-3.51E-07;1510.02;25.2;1510;5.207;
-7.27E-07;-4.94E-08;0.06793;-1.85E-04;-0.018476;-1.49E-07;-1.46E-07;1520.01;25.3;1520;5.173;
4.65E-06;-8.32E-08;-0.01788;-1.89E-04;-0.018901;-2.51E-07;9.36E-07;1530.01;25.5;1530;5.171;
1.75E-06;-3.12E-08;-0.01788;-1.87E-04;-0.018654;-9.40E-08;3.51E-07;1540.01;25.7;1540;5.155;
-1.24E-06;2.21E-08;-0.01788;-1.92E-04;-0.019227;6.66E-08;-2.49E-07;1550.01;25.8;1550;5.123;
5.74E-06;-1.03E-07;-0.01787;-1.91E-04;-0.019073;-3.09E-07;1.16E-06;1560.01;26;1560;5.127;
1.82E-06;-3.25E-08;-0.01788;-1.91E-04;-0.019136;-9.79E-08;3.66E-07;1570.01;26.2;1570;5.107;
-6.76E-06;1.21E-07;-0.01788;-1.93E-04;-0.01927;3.64E-07;-1.36E-06;1580.01;26.3;1580;5.103;
-1.04E-05;1.86E-07;-0.01788;-1.93E-04;-0.019343;5.60E-07;-2.09E-06;1590.01;26.5;1590;5.1;
-1.32E-05;7.41E-08;-5.63E-03;-1.89E-04;-0.018936;2.23E-07;-2.65E-06;1600.02;26.7;1600;5.096;
-1.90E-05;-1.24E-07;6.51E-03;-1.88E-04;-0.01882;-3.72E-07;-3.82E-06;1610.01;26.8;1610;5.124;
5.38E-06;-9.62E-08;-0.01788;-1.89E-04;-0.018854;-2.90E-07;1.08E-06;1620.01;27;1620;5.102;
3.78E-06;-6.76E-08;-0.01788;-1.93E-04;-0.019317;-2.04E-07;7.61E-07;1630.01;27.2;1630;5.081;
1.14E-05;2.68E-07;0.02345;-1.94E-04;-0.019398;8.07E-07;2.30E-06;1640.01;27.3;1640;5.11;
1.31E-05;1.11E-07;8.44E-03;-1.93E-04;-0.019294;3.33E-07;2.63E-06;1650.01;27.5;1650;5.108;
4.36E-06;-7.80E-08;-0.01788;-1.89E-04;-0.018918;-2.35E-07;8.78E-07;1660.01;27.7;1660;5.072;
3.35E-06;-5.98E-08;-0.01788;-1.94E-04;-0.019419;-1.80E-07;6.73E-07;1670;27.8;1670;5.085;
8.07E-06;-1.44E-07;-0.01788;-1.93E-04;-0.019282;-4.35E-07;1.62E-06;1680;28;1680;5.103;
3.27E-06;-7.28E-08;-0.02224;-1.90E-04;-0.01895;-2.19E-07;6.58E-07;1690.01;28.2;1690;5.125;
-1.23E-05;2.20E-07;-0.01788;-1.90E-04;-0.019;6.62E-07;-2.47E-06;1700;28.3;1700;5.15;
5.82E-07;-1.04E-08;-0.01788;-1.91E-04;-0.019084;-3.13E-08;1.17E-07;1710;28.5;1710;5.112;
-1.09E-06;1.95E-08;-0.01788;-1.92E-04;-0.019235;5.87E-08;-2.19E-07;1720;28.7;1720;5.079;
-3.56E-06;6.37E-08;-0.01788;-1.92E-04;-0.019235;1.92E-07;-7.17E-07;1730;28.8;1730;5.09;
6.76E-06;-1.21E-07;-0.01788;-1.92E-04;-0.019198;-3.64E-07;1.36E-06;1740;29;1740;5.117;
-5.02E-06;8.97E-08;-0.01788;-1.96E-04;-0.019616;2.70E-07;-1.01E-06;1750;29.2;1750;5.06;
6.98E-06;-1.25E-07;-0.01788;-1.93E-04;-0.019256;-3.76E-07;1.40E-06;1760;29.3;1760;5.04;
-2.69E-06;4.81E-08;-0.01788;-1.93E-04;-0.019247;1.45E-07;-5.41E-07;1770;29.5;1770;5.041;
-2.25E-06;4.03E-08;-0.01788;-1.96E-04;-0.019587;1.21E-07;-4.54E-07;1780;29.7;1780;5.103;
1.21E-05;-2.16E-07;-0.01788;-1.96E-04;-0.019637;-6.50E-07;2.43E-06;1790;29.8;1790;5.1;
