/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
246.8	111	82	53
247	129	95	61
247.2	154	112	72
247.4	173	125	81
247.6	179	129	84
247.8	172	123	80
248	164	116	76
248.2	153	108	70
248.4	139	97	63
248.6	127	88	57
248.8	129	92	60
249	137	98	64
249.2	147	106	69
249.4	154	110	72
249.6	150	107	70
249.8	137	97	63
250	134	96	62
250.2	137	99	64
250.4	138	101	65
250.6	136	100	65
250.8	130	97	64
251	122	92	60
251.2	113	85	56
251.4	111	81	53
251.6	113	80	51
251.8	123	87	55
252	108	77	49
252.2	109	78	49
252.4	124	88	55
252.6	140	99	62
252.8	161	114	71
253	164	115	73
253.2	154	108	69
253.4	144	100	64
253.6	144	101	64
253.8	139	97	62
254	140	99	62
254.2	151	107	68
254.4	153	109	70
254.6	141	100	65
254.8	125	88	57
255	110	79	51
255.2	102	73	47
255.4	95	67	43
255.6	88	62	39
255.8	100	69	43
256	110	75	47
256.2	114	78	49
256.4	116	80	51
256.6	112	77	48
256.8	114	78	48
257	121	83	52
257.2	117	81	51
257.4	106	73	46
257.6	98	67	42
257.8	108	74	46
258	115	80	50
258.2	117	80	50
258.4	126	87	54
258.6	125	86	54
258.8	139	94	58
259	149	101	63
259.2	142	96	60
259.4	128	87	54
259.6	124	85	53
259.8	130	89	55
260	139	97	61
260.2	136	96	61
260.4	117	83	53
260.6	115	82	53
260.8	119	85	55
261	127	89	56
261.2	135	95	60
261.4	136	96	61
261.6	141	100	64
261.8	142	102	65
262	141	101	64
262.2	152	109	70
262.4	154	112	72
262.6	147	106	68
262.8	152	109	70
263	158	115	73
263.2	159	114	73
263.4	161	115	74
263.6	164	117	74
263.8	165	119	76
264	164	119	76
264.2	159	117	75
264.4	145	107	70
264.6	145	106	68
264.8	148	107	70
265	156	110	71
265.2	155	109	70
265.4	135	94	60
265.6	127	88	56
265.8	126	87	55
266	133	91	57
266.2	154	106	67
266.4	165	116	74
266.6	175	124	80
266.8	181	130	84
267	173	124	80
267.2	163	116	75
267.4	156	110	71
267.6	150	106	68
267.8	144	102	66
268	132	93	59
268.2	120	86	55
268.4	115	84	54
268.6	108	80	51
268.8	104	74	47
269	118	82	52
269.2	134	94	59
269.4	156	110	68
269.6	156	111	71
269.8	139	99	63
270	135	95	61
270.2	140	99	63
270.4	141	99	64
270.6	135	95	60
270.8	138	96	60
271	137	98	62
271.2	126	92	59
271.4	120	88	57
271.6	118	87	56
271.8	116	84	54
272	123	86	54
272.2	137	95	59
272.4	139	96	60
272.6	135	94	60
272.8	135	95	61
273	138	98	63
273.2	138	98	63
273.4	140	100	64
273.6	142	100	65
273.8	137	96	62
274	134	94	60
274.2	131	91	57
274.4	140	96	60
274.6	155	108	69
274.8	162	112	71
275	156	107	68
275.2	144	99	63
275.4	126	86	55
275.6	113	76	48
275.8	105	70	44
276	98	66	41
276.2	100	66	41
276.4	110	74	46
276.6	119	82	51
276.8	130	91	57
277	142	101	64
277.2	150	108	69
277.4	138	100	65
277.6	126	91	59
277.8	120	87	56
278	110	79	51
278.2	111	79	51
278.4	116	82	52
278.6	127	90	57
278.8	140	99	62
279	152	107	67
279.2	151	107	67
279.4	150	105	66
279.6	154	107	67
279.8	157	110	69
280	147	103	65
280.2	140	97	62
280.4	137	95	60
280.6	132	92	57
280.8	121	86	54
281	102	72	45
281.2	88	61	38
281.4	85	59	36
281.6	89	61	38
281.8	115	79	50
282	150	106	68
282.2	155	111	72
282.4	153	111	72
282.6	164	120	79
282.8	157	117	77
283	142	106	70
283.2	140	106	70
283.4	135	103	68
283.6	129	98	64
283.8	123	94	62
284	117	88	59
284.2	118	88	58
284.4	114	84	56
284.6	112	82	53
284.8	114	82	53
285	121	86	55
285.2	140	99	63
285.4	160	113	72
285.6	168	119	76
285.8	160	113	73
286	148	105	67
286.2	149	105	68
286.4	148	104	67
286.6	149	105	67
286.8	169	121	78
287	174	124	80
287.2	165	116	75
287.4	152	107	69
287.6	141	98	63
287.8	140	98	63
288	150	107	69
288.2	165	119	77
288.4	170	124	81
288.6	165	119	77
288.8	163	117	76
289	163	117	75
289.2	173	124	79
289.4	193	139	89
289.6	204	147	94
289.8	189	136	88
290	155	110	71
290.2	134	94	60
290.4	128	89	57
290.6	123	85	55
290.8	129	90	58
291	137	97	62
291.2	139	99	64
291.4	140	101	66
291.6	141	103	67
291.8	152	112	73
292	166	122	80
292.2	175	128	84
292.4	178	130	85
292.6	178	128	84
292.8	174	125	82
293	174	125	82
293.2	158	115	75
293.4	141	101	66
293.6	143	103	67
293.8	151	109	70
294	147	105	67
294.2	143	101	64
294.4	145	102	64
294.6	148	104	66
294.8	149	105	67
295	162	115	74
295.2	179	127	82
295.4	179	126	82
295.6	160	114	74
295.8	161	115	75
296	187	135	88
296.2	207	149	98
296.4	198	142	93
296.6	188	135	88
296.8	202	147	96
297	214	159	104
297.2	204	150	99
297.4	185	135	89
297.6	172	124	81
297.8	165	120	78
298	173	126	83
298.2	183	134	88
298.4	180	132	87
298.6	177	131	87
298.8	174	129	86
299	173	126	83
299.2	168	123	80
299.4	174	126	82
299.6	189	137	89
299.8	189	136	89
300	193	138	89
300.2	196	138	89
300.4	195	137	88
300.6	191	133	86
300.8	176	121	78
301	157	108	69
301.2	141	97	62
301.4	129	88	57
301.6	127	88	56
301.8	145	103	66
302	160	115	74
302.2	171	122	78
302.4	179	128	83
302.6	165	117	76
302.8	154	108	69
303	145	100	64
303.2	134	93	59
303.4	130	91	58
303.6	129	90	57
303.8	127	90	58
304	140	100	64
304.2	157	113	73
304.4	155	112	73
304.6	140	102	67
304.8	124	90	59
305	114	82	54
305.2	99	72	47
305.4	88	63	41
305.6	88	63	40
305.8	103	72	46
306	125	88	55
306.2	137	96	61
306.4	135	95	60
306.6	132	92	59
306.8	128	89	57
307	129	89	57
307.2	130	90	58
307.4	130	90	57
307.6	130	90	57
307.8	127	88	56
308	126	88	56
308.2	127	89	57
308.4	128	89	56
308.6	133	92	58
308.8	127	89	57
309	128	90	57
309.2	132	92	59
309.4	135	95	60
309.6	133	94	60
309.8	132	93	59
310	130	92	59
310.2	125	89	57
310.4	125	90	58
310.6	123	88	57
310.8	113	81	53
311	102	74	48
311.2	95	68	44
311.4	100	71	45
311.6	123	87	55
311.8	132	93	59
312	133	94	60
312.2	142	102	65
312.4	149	106	68
312.6	152	108	70
312.8	158	115	74
313	160	117	76
313.2	169	123	80
313.4	175	128	83
313.6	174	127	83
313.8	174	127	83
314	168	123	81
314.2	160	116	76
314.4	149	109	71
314.6	152	112	73
314.8	156	116	76
315	157	116	76
315.2	157	115	75
315.4	158	115	75
315.6	179	131	86
315.8	188	138	90
316	192	139	91
316.2	192	139	91
316.4	185	134	88
316.6	181	132	86
316.8	177	128	84
317	172	125	82
317.2	169	124	82
317.4	168	123	82
317.6	167	122	81
317.8	161	118	78
318	151	110	73
318.2	145	106	70
318.4	140	101	66
318.6	138	98	64
318.8	133	94	61
319	122	86	56
319.2	116	82	53
319.4	113	80	52
319.6	109	79	52
319.8	104	76	50
320	100	73	48
320.2	99	72	47
320.4	96	70	46
320.6	93	67	44
320.8	92	65	42
321	100	68	42
321.2	113	76	47
321.4	112	77	48
321.6	117	82	52
321.8	126	89	57
322	122	86	56
322.2	120	85	55
322.4	119	85	54
322.6	119	86	56
322.8	119	86	56
323	115	82	53
323.2	112	79	51
323.4	114	81	52
323.6	109	77	50
323.8	102	71	45
324	108	75	47
324.2	122	85	53
324.4	128	90	58
324.6	123	86	56
324.8	122	86	55
325	121	88	57
325.2	120	87	57
325.4	118	85	55
325.6	117	85	55
325.8	120	86	56
326	124	89	58
326.2	133	95	61
326.4	152	107	69
326.6	170	120	77
326.8	169	119	76
327	159	111	71
327.2	141	99	63
327.4	115	82	53
327.6	117	82	52
327.8	128	89	56
328	152	104	64
328.2	171	117	73
328.4	180	125	78
328.6	184	127	80
328.8	184	127	79
329	179	124	78
329.2	173	120	76
329.4	170	116	74
329.6	168	116	73
329.8	166	114	72
330	162	110	70
330.2	158	107	68
330.4	154	105	66
330.6	150	103	66
330.8	142	97	62
331	141	96	61
331.2	139	95	60
331.4	136	93	59
331.6	134	92	58
331.8	129	87	55
332	126	85	54
332.2	124	84	53
